Gene	Transcript	FDR	P-Value	Number of species included	Number of Sites under positive Selection	Jalview protein alignment	Protein Alignment (interleaved)
2727791330	2727791330	0.00018702380952381	3.142e-05	16	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791330/Ramlibacter_MAG/2727791330_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791330/Ramlibacter_MAG/2727791330_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792236	2727792236	0.000216331360946746	3.656e-05	13	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792236/Ramlibacter_MAG/2727792236_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792236/Ramlibacter_MAG/2727792236_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790926	2727790926	0.000226294117647059	3.847e-05	10	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790926/Ramlibacter_MAG/2727790926_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790926/Ramlibacter_MAG/2727790926_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792639	2727792639	0.000232163742690059	3.970e-05	20	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792639/Ramlibacter_MAG/2727792639_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792639/Ramlibacter_MAG/2727792639_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791568	2727791568	0.000246686046511628	4.243e-05	7	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791568/Ramlibacter_MAG/2727791568_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791568/Ramlibacter_MAG/2727791568_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791692	2727791692	0.000250115606936416	4.327e-05	16	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791692/Ramlibacter_MAG/2727791692_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791692/Ramlibacter_MAG/2727791692_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793228	2727793228	0.000250344827586207	4.356e-05	14	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793228/Ramlibacter_MAG/2727793228_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793228/Ramlibacter_MAG/2727793228_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792641	2727792641	0.000266285714285714	4.660e-05	17	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792641/Ramlibacter_MAG/2727792641_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792641/Ramlibacter_MAG/2727792641_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793062	2727793062	0.000298522727272727	5.254e-05	20	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793062/Ramlibacter_MAG/2727793062_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793062/Ramlibacter_MAG/2727793062_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794199	2727794199	0.000307627118644068	5.445e-05	19	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794199/Ramlibacter_MAG/2727794199_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794199/Ramlibacter_MAG/2727794199_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793834	2727793834	0.000321292134831461	5.719e-05	15	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793834/Ramlibacter_MAG/2727793834_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793834/Ramlibacter_MAG/2727793834_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792799	2727792799	0.000322849162011173	5.779e-05	19	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792799/Ramlibacter_MAG/2727792799_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792799/Ramlibacter_MAG/2727792799_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792812	2727792812	0.000333222222222222	5.998e-05	11	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792812/Ramlibacter_MAG/2727792812_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792812/Ramlibacter_MAG/2727792812_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791300	2727791300	0.000348406593406593	6.329e-05	16	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791300/Ramlibacter_MAG/2727791300_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791300/Ramlibacter_MAG/2727791300_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792822	2727792822	0.000348406593406593	6.341e-05	16	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792822/Ramlibacter_MAG/2727792822_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792822/Ramlibacter_MAG/2727792822_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794002	2727794002	0.000374699453551913	6.857e-05	12	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794002/Ramlibacter_MAG/2727794002_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794002/Ramlibacter_MAG/2727794002_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792461	2727792461	0.000388586956521739	7.150e-05	14	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792461/Ramlibacter_MAG/2727792461_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792461/Ramlibacter_MAG/2727792461_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790763	2727790763	0.000416486486486486	7.705e-05	12	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790763/Ramlibacter_MAG/2727790763_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790763/Ramlibacter_MAG/2727790763_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790972	2727790972	0.000422406417112299	7.879e-05	18	13	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790972/Ramlibacter_MAG/2727790972_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790972/Ramlibacter_MAG/2727790972_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793557	2727793557	0.000422406417112299	7.899e-05	15	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793557/Ramlibacter_MAG/2727793557_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793557/Ramlibacter_MAG/2727793557_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793269	2727793269	0.000424308510638298	7.977e-05	16	13	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793269/Ramlibacter_MAG/2727793269_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793269/Ramlibacter_MAG/2727793269_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793580	2727793580	0.000437566137566138	8.270e-05	16	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793580/Ramlibacter_MAG/2727793580_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793580/Ramlibacter_MAG/2727793580_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794348	2727794348	0.000438526315789474	8.332e-05	16	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794348/Ramlibacter_MAG/2727794348_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794348/Ramlibacter_MAG/2727794348_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794059	2727794059	0.000444659685863874	8.493e-05	16	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794059/Ramlibacter_MAG/2727794059_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794059/Ramlibacter_MAG/2727794059_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792167	2727792167	0.000446113989637306	8.598e-05	12	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792167/Ramlibacter_MAG/2727792167_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792167/Ramlibacter_MAG/2727792167_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792898	2727792898	0.000446113989637306	8.610e-05	16	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792898/Ramlibacter_MAG/2727792898_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792898/Ramlibacter_MAG/2727792898_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790895	2727790895	0.000455927835051546	8.845e-05	19	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790895/Ramlibacter_MAG/2727790895_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790895/Ramlibacter_MAG/2727790895_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792626	2727792626	0.00045719387755102	8.922e-05	20	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792626/Ramlibacter_MAG/2727792626_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792626/Ramlibacter_MAG/2727792626_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793413	2727793413	0.00045719387755102	8.961e-05	16	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793413/Ramlibacter_MAG/2727793413_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793413/Ramlibacter_MAG/2727793413_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791607	2727791607	0.000470507614213198	9.269e-05	16	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791607/Ramlibacter_MAG/2727791607_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791607/Ramlibacter_MAG/2727791607_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794469	2727794469	0.000526262626262626	1.042e-04	16	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794469/Ramlibacter_MAG/2727794469_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794469/Ramlibacter_MAG/2727794469_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792569	2727792569	0.000529145728643216	1.053e-04	6	18	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792569/Ramlibacter_MAG/2727792569_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792569/Ramlibacter_MAG/2727792569_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791736	2727791736	0.000548	1.096e-04	11	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791736/Ramlibacter_MAG/2727791736_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791736/Ramlibacter_MAG/2727791736_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792333	2727792333	0.000562686567164179	1.131e-04	14	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792333/Ramlibacter_MAG/2727792333_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792333/Ramlibacter_MAG/2727792333_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793799	2727793799	0.000564851485148515	1.141e-04	16	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793799/Ramlibacter_MAG/2727793799_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793799/Ramlibacter_MAG/2727793799_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791529	2727791529	0.000579310344827586	1.176e-04	16	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791529/Ramlibacter_MAG/2727791529_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791529/Ramlibacter_MAG/2727791529_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791758	2727791758	0.000582352941176471	1.188e-04	14	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791758/Ramlibacter_MAG/2727791758_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791758/Ramlibacter_MAG/2727791758_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791319	2727791319	0.000599024390243902	1.228e-04	16	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791319/Ramlibacter_MAG/2727791319_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791319/Ramlibacter_MAG/2727791319_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793347	2727793347	0.000689371980676328	1.421e-04	8	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793347/Ramlibacter_MAG/2727793347_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793347/Ramlibacter_MAG/2727793347_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792907	2727792907	0.000689371980676328	1.427e-04	16	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792907/Ramlibacter_MAG/2727792907_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792907/Ramlibacter_MAG/2727792907_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792623	2727792623	0.000748557692307692	1.557e-04	20	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792623/Ramlibacter_MAG/2727792623_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792623/Ramlibacter_MAG/2727792623_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791014	2727791014	0.000749760765550239	1.567e-04	14	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791014/Ramlibacter_MAG/2727791014_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791014/Ramlibacter_MAG/2727791014_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793713	2727793713	0.00077952380952381	1.637e-04	10	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793713/Ramlibacter_MAG/2727793713_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793713/Ramlibacter_MAG/2727793713_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791705	2727791705	0.000838388625592417	1.769e-04	16	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791705/Ramlibacter_MAG/2727791705_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791705/Ramlibacter_MAG/2727791705_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793848	2727793848	0.000851173708920188	1.806e-04	16	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793848/Ramlibacter_MAG/2727793848_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793848/Ramlibacter_MAG/2727793848_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790913	2727790913	0.000851173708920188	1.813e-04	18	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790913/Ramlibacter_MAG/2727790913_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790913/Ramlibacter_MAG/2727790913_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790819	2727790819	0.000883644859813084	1.891e-04	17	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790819/Ramlibacter_MAG/2727790819_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790819/Ramlibacter_MAG/2727790819_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794439	2727794439	0.000886111111111111	1.907e-04	18	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794439/Ramlibacter_MAG/2727794439_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794439/Ramlibacter_MAG/2727794439_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791663	2727791663	0.000886111111111111	1.914e-04	16	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791663/Ramlibacter_MAG/2727791663_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791663/Ramlibacter_MAG/2727791663_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793072	2727793072	0.000904147465437788	1.962e-04	16	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793072/Ramlibacter_MAG/2727793072_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793072/Ramlibacter_MAG/2727793072_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794000	2727794000	0.00104128440366972	2.270e-04	14	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794000/Ramlibacter_MAG/2727794000_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794000/Ramlibacter_MAG/2727794000_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793088	2727793088	0.00108219178082192	2.370e-04	8	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793088/Ramlibacter_MAG/2727793088_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793088/Ramlibacter_MAG/2727793088_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792836	2727792836	0.00113272727272727	2.492e-04	8	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792836/Ramlibacter_MAG/2727792836_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792836/Ramlibacter_MAG/2727792836_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790973	2727790973	0.00115746606334842	2.558e-04	20	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790973/Ramlibacter_MAG/2727790973_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790973/Ramlibacter_MAG/2727790973_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793780	2727793780	0.00116351351351351	2.583e-04	15	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793780/Ramlibacter_MAG/2727793780_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793780/Ramlibacter_MAG/2727793780_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794463	2727794463	0.00125892857142857	2.810e-04	20	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794463/Ramlibacter_MAG/2727794463_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794463/Ramlibacter_MAG/2727794463_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793078	2727793078	0.00125892857142857	2.820e-04	20	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793078/Ramlibacter_MAG/2727793078_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793078/Ramlibacter_MAG/2727793078_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
